"","File","syllable","type","min.freq","max.freq","freq.range","duration","location","species","cluster8","1","2","cutree(cluster, 8)"
"132","200613_023_2",9,"D",1723,2684,961,0.084358966,"B","black",2,-352.150987918772,36.6618403491384,2
"133","200613_023_2",10,"J",1402,2322,920,0.121576156,"B","black",2,-706.522722142942,368.605621041204,2
"134","200613_023_2",11,"L",2326,3485,1159,0.079396673,"B","black",5,292.116850691971,-756.643240630416,5
"135","200613_023_4",1,"A",2084,2540,456,0.017368022,"B","black",1,143.959346358634,436.607511623383,1
"136","200613_023_4",2,"D",1923,2284,361,0.054585213,"B","black",6,-20.5987369645823,707.536720943421,6
"137","200613_023_4",3,"J",1442,2324,882,0.11909501,"B","black",2,-654.731305453822,387.727576048647,2
"138","200613_023_4",4,"L",2043,3487,1444,0.059547505,"B","black",7,-77.1669623713723,-914.59090303039,3
"139","200613_023_4",5,"C",1603,2605,1002,0.173680223,"B","black",2,-494.59975999042,81.7212211565755,2
"140","200613_023_4",6,"D",1843,2445,602,0.077505441,"B","black",6,-153.396699123941,437.78368247933,2
"141","200613_023_4",7,"J",1403,2284,881,0.121576156,"B","black",2,-698.490751118201,422.4710777913,2
"142","200613_023_4",8,"L",2085,3326,1241,0.086840112,"B","black",5,6.09273558935644,-665.669587134456,3
"143","200613_023_4",9,"C",1562,2686,1124,0.171199077,"B","black",3,-562.390909745383,-54.405043272261,3
"144","200613_023_4",10,"D",2043,2445,402,0.086840112,"B","black",1,107.33099736814,547.424312531013,1
"145","200613_023_4",11,"J",1482,2284,802,0.126538448,"B","black",2,-595.503311049575,465.779126591606,2
"146","200613_023_4",12,"L",2124,3441,1317,0.084358966,"B","black",5,36.5725775551725,-805.644510450671,3
"147","200613_023_4",13,"H",1445,2205,760,0.091802404,"B","black",2,-629.750084487178,556.339375904449,2
"148","200613_023_4",14,"K",2565,3206,641,0.061148529,"B","black",4,653.086574813567,-234.161797848357,4
"149","200613_023_4",15,"D",1723,2246,523,0.076987737,"B","black",6,-274.598102054705,651.213342744025,6
"150","200613_024_2",1,"B",2363,3020,657,0.107516329,"B","black",4,422.685016527194,-83.9249117659085,1
"151","200613_024_2",2,"C",1739,2791,1052,0.138944179,"B","black",2,-350.238342074269,-104.697073651839,2
"152","200613_024_2",3,"G",3123,3503,380,0.074434381,"B","black",8,1327.92961783789,-344.980868734013,4
"153","200613_024_2",4,"A",1841,2169,328,0.038044239,"B","black",6,-107.135033065737,823.938909734058,6
"154","200613_024_2",5,"B",2031,2932,901,0.112478621,"B","black",5,5.45844128934522,-142.456824130208,5
"155","200613_024_2",6,"C",1699,2788,1089,0.133981886,"B","black",3,-401.85269711369,-122.415942629043,2
"156","200613_024_2",7,"G",3170,3455,285,0.074434381,"B","black",8,1397.69957295931,-251.867210744174,4
"157","200613_024_2",8,"I",2363,3360,997,0.15052286,"B","black",5,362.484144884082,-560.974025263988,5
"158","200613_024_3",1,"B",2364,3035,671,0.115786815,"B","black",4,421.332733974893,-104.422993382527,1
"159","200613_024_3",2,"C",1716,2764,1048,0.130673692,"B","black",2,-375.441369581167,-79.4224339455927,2
"160","200613_024_3",3,"G",3166,3401,235,0.081050771,"B","black",8,1402.04633344835,-178.293400186294,4
"161","200613_024_3",4,"A",1803,2124,321,0.038044239,"B","black",6,-148.705533243726,866.24604287086,6
"162","200613_024_3",5,"B",1963,3166,1203,0.104208134,"B","black",5,-124.621338874622,-508.056673377063,3
"163","200613_024_3",6,"C",1603,2722,1119,0.145560568,"B","black",3,-515.31594075132,-82.4397949520957,3
"164","200613_024_3",7,"G",3206,3404,198,0.072780284,"B","black",8,1453.66068896253,-160.574530481521,4
"165","200613_025_2",1,"A",2003,2281,278,0.03142785,"B","black",6,84.2235267449792,755.602231305579,6
"166","200613_025_2",2,"H",1763,2164,401,0.05623931,"B","black",6,-207.933528567815,788.194490918234,6
"167","200613_025_2",3,"I",1723,3286,1563,0.140598276,"B","black",7,-458.741942290286,-807.995706573485,3
"168","200613_025_2",4,"D",1442,2245,803,0.08766716,"B","black",2,-640.743455097122,498.571341834108,2
"169","200613_025_4",1,"A",2084,2284,200,0.029773753,"B","black",6,189.28705987131,795.797429912376,6
"170","200613_025_4",2,"H",1681,2202,521,0.059547505,"B","black",6,-321.560216926173,689.924578607453,6
"171","200613_025_4",3,"A",1640,2319,679,0.043006531,"B","black",2,-395.725575952017,503.287232596349,2
"172","200613_025_4",4,"H",1766,3367,1601,0.054585213,"B","black",7,-417.027456381012,-898.072901572272,3
"173","200613_025_4",5,"I",2002,3327,1325,0.142252373,"B","black",5,-102.286321964535,-712.573537486577,3
"174","200613_025_4",6,"D",1481,2285,804,0.095937647,"B","black",2,-596.984009818483,463.827839500304,2
"175","200613_025_4",7,"I",2003,3326,1323,0.138944179,"B","black",5,-100.805621979063,-710.622248530879,3
"176","200613_025_4",8,"A",1679,2326,647,0.043006531,"B","black",6,-346.123104749287,514.845556209643,2
"177","200613_025_4",9,"C",1405,3084,1679,0.172026126,"B","black",7,-837.532582077945,-698.901015461565,3
"178","200613_026_6",1,"D",1882,2967,1085,0.110824523,"B","black",5,-194.980841180076,-273.247090544458,3
"179","200613_026_6",2,"C",1681,2687,1006,0.152176957,"B","black",2,-407.434990833511,9.4280473387688,2
"180","200613_026_6",3,"G",3126,3359,233,0.081050771,"B","black",8,1357.33737215415,-141.291930218084,4
"181","200613_026_6",4,"A",1723,2242,519,0.05623931,"B","black",6,-273.889855779717,656.825686368746,6
"182","200613_026_6",5,"D",1645,3082,1437,0.11909501,"B","black",3,-524.30522122124,-564.526084631418,3
"183","200613_026_6",6,"C",1682,2648,966,0.138944179,"B","black",2,-399.225957951367,64.6965904374147,2
"184","200613_026_6",7,"G",3166,3407,241,0.089321258,"B","black",8,1400.98396485575,-186.71191436691,4
"185","200613_026_7",1,"A",1679,2180,501,0.044660629,"B","black",6,-320.272142942096,719.696056781897,6
"186","200613_026_7",2,"D",1720,2885,1165,0.112478621,"B","black",3,-391.651242292185,-247.002980472566,3
"187","200613_026_7",3,"C",1683,2766,1083,0.138944179,"B","black",3,-418.815562619637,-100.319309685498,2
"188","200613_026_7",4,"G",3166,3447,281,0.086013063,"B","black",8,1393.90150966853,-242.835339024251,4
"189","200613_026_7",5,"A",1562,2324,762,0.052931116,"B","black",2,-498.294684983846,453.511958025446,2
"190","200613_026_7",6,"D",1765,2965,1200,0.105862231,"B","black",3,-347.152420880534,-334.580687910138,3
"191","200613_026_7",7,"C",1638,2724,1086,0.130673692,"B","black",2,-470.042716037791,-66.05885502668,3
"192","200613_026_7",8,"G",3086,3325,239,0.084358966,"B","black",4,1311.21191968008,-115.515145399614,4
"193","200613_027_5",1,"A",2045,2284,239,0.02481146,"B","black",6,138.445159168081,774.417507225056,6
"194","200613_027_5",2,"H",1764,2163,399,0.067817992,"B","black",6,-206.452829116445,790.145779055417,6
"195","200613_027_5",3,"I",1763,3366,1603,0.143906471,"B","black",7,-420.761313655379,-898.314430320858,3
"196","200613_027_5",4,"D",1642,2246,604,0.104208134,"B","black",6,-380.19282024623,606.808885868589,2
"197","200613_027_5",5,"I",1725,3327,1602,0.143906471,"B","black",7,-463.394182129254,-864.425810909942,3
"198","200613_027_6",1,"H",1685,2086,401,0.067817992,"B","black",6,-295.806542899246,854.875322797795,6
"199","200613_027_6",2,"A",1720,2325,605,0.036390142,"B","black",6,-292.496865279729,538.724971460218,2
"200","200613_027_6",3,"H",1768,2084,316,0.0628557,"B","black",6,-187.250425772718,903.182355997039,6
"201","200613_027_6",4,"I",1963,3286,1323,0.145560568,"B","black",5,-145.868706275938,-676.426950168415,3
"202","200613_027_6",5,"D",1482,2283,801,0.099245842,"B","black",2,-595.326248687741,467.182213713199,2
"203","200613_027_6",6,"I",1962,3326,1364,0.145560568,"B","black",7,-154.254800065974,-733.098578160473,3
"204","200613_027_6",7,"A",1643,2284,641,0.041352434,"B","black",6,-385.617512047604,554.039838880097,2
"205","200613_027_6",8,"C",1441,2965,1524,0.186913002,"B","black",3,-769.531292648137,-512.198513881677,3
"206","200613_029_1",1,"A",2244,2845,601,0.034736045,"B","black",1,298.537781489614,96.378900721237,5
"207","200613_029_1",2,"I",2164,3126,962,0.127365497,"B","black",5,144.492450911573,-341.744416093328,5
"208","200613_029_1",3,"F",1923,2724,801,0.081050771,"B","black",5,-98.505746278998,90.1790462567212,5
"209","200613_029_1",4,"I",2001,3243,1242,0.130673692,"B","black",5,-88.7168038908674,-595.262547840389,3
"210","200613_029_3",1,"A",2525,2701,176,0.033081947,"B","black",1,690.357034692114,452.468316177139,1
"211","200613_029_3",2,"I",2083,3206,1123,0.122403205,"B","black",5,24.7328232628774,-498.395720877749,3
"212","200613_029_3",3,"F",1602,2726,1124,0.086013063,"B","black",3,-517.327822629638,-88.6003373147811,3
"213","200613_029_3",4,"I",1883,3206,1323,0.132327789,"B","black",5,-235.994873920175,-608.03635198835,3
"214","200613_030_2",1,"A",2084,2170,86,0.021503266,"B","black",6,209.472057789849,955.749191158921,6
"215","200613_030_2",2,"H",2084,2181,97,0.049622921,"B","black",6,207.524381571868,940.315247782047,6
"216","200613_030_2",3,"I",2075,3087,1012,0.140598276,"B","black",5,35.3740192720601,-335.814158204036,3
"217","200613_030_2",4,"H",2044,2236,192,0.061201602,"B","black",6,145.640465745446,841.217411878493,6
"218","200613_030_2",5,"I",1842,3165,1323,0.133981886,"B","black",3,-282.184535140504,-572.986170884892,3
"219","200613_030_2",6,"A",2124,2404,280,0.02481146,"B","black",1,220.18523349704,649.355281780501,1
"220","200613_030_2",7,"A",1445,1643,198,0.021503266,"B","black",6,-530.241584917134,1344.87349876088,6
"221","200613_030_2",8,"E",1522,2646,1124,0.117440913,"B","black",2,-607.45399187618,-20.2097415902626,3
"222","200613_030_3",1,"A",1923,2124,201,0.051277018,"B","black",6,7.73108437770743,932.030420482245,6
"223","200613_030_3",2,"I",1963,3126,1163,0.142252373,"B","black",5,-117.538884933649,-451.933250629592,3
"224","200613_030_3",3,"H",1964,2086,122,0.064509797,"B","black",6,67.9085942930881,1007.82400261775,6
"225","200613_030_3",4,"I",1961,3204,1243,0.143906471,"B","black",5,-133.956949807769,-562.470335462692,3
"226","200613_030_3",5,"A",1882,2241,359,0.026465558,"B","black",6,-66.4342743514128,745.393074925871,6
"227","200613_030_3",6,"E",1442,2647,1205,0.102554037,"B","black",3,-711.922131455519,-65.4690786186966,3
"228","200613_033_9",1,"A",1961,2525,564,0.038044239,"B","black",6,-13.7322671920573,390.22480700384,2
"229","200613_033_9",2,"H",1766,2123,357,0.051277018,"B","black",6,-196.763096248828,847.365611109759,6
"230","200613_033_9",3,"I",1800,3130,1330,0.143906471,"B","black",3,-330.740203437576,-546.902707114874,3
"231","200613_033_10",1,"A",1922,2525,603,0.028119655,"B","black",2,-64.5741677172518,368.844884589358,2
"232","200613_033_10",2,"H",1804,2202,398,0.043006531,"B","black",6,-161.212682784131,757.353567314341,6
"233","200613_033_10",3,"I",1843,3085,1242,0.148868763,"B","black",5,-266.715986578671,-460.191118872117,3
"234","200613_034_2",1,"D",1644,2364,720,0.104208134,"B","black",2,-398.478786430366,442.341188898501,2
"235","200613_034_2",2,"I",1605,3327,1722,0.15713925,"B","black",7,-619.830800700202,-930.210189976465,3
"236","200613_034_2",3,"D",1566,2485,919,0.117440913,"B","black",2,-521.587015967995,229.807982111933,2
"237","200613_034_2",4,"I",1723,3366,1643,0.147214665,"B","black",7,-472.906853139465,-920.242556615735,3
"238","200613_034_2",5,"A",1562,2104,542,0.043006531,"B","black",6,-459.341180445327,762.190795186905,6
"239","200613_034_2",6,"C",1322,2925,1603,0.195183489,"B","black",3,-917.581817251016,-521.311264683305,3
"240","200613_034_3",1,"A",1723,2765,1042,0.034736045,"B","black",2,-366.492958132881,-76.988092221923,2
"241","200613_034_3",2,"H",1759,2244,485,0.05623931,"B","black",6,-227.312993116155,673.75482862847,6
"242","200613_034_3",3,"I",1721,3205,1484,0.147214665,"B","black",7,-447.007247501487,-695.442177943473,3
"243","200613_034_3",4,"D",1640,2365,725,0.099245842,"B","black",2,-403.870401571519,438.74529093906,2
"244","200613_034_3",5,"I",1722,3246,1524,0.145560568,"B","black",7,-452.963125646555,-752.420485159916,3
"245","200613_034_3",6,"A",1563,2206,643,0.044660629,"B","black",6,-476.097803050583,619.624264908739,2
"246","200613_034_3",7,"C",1401,2805,1404,0.193529392,"B","black",3,-793.347011027312,-309.632941001516,3
"247","200613_042_4",1,"H",2766,2968,202,0.066163895,"B","black",4,957.258519014855,209.961413387069,1
"248","200613_042_4",2,"J",1926,2724,798,0.076088479,"B","black",5,-94.5948306485593,91.8236559880336,5
"249","200613_042_4",3,"A",2885,3077,192,0.064509797,"B","black",4,1093.09180797768,122.261255977236,4
"250","200613_042_4",4,"L",1680,3002,1322,0.104208134,"B","black",3,-464.512963130616,-433.092123785575,3
"251","200613_042_4",5,"A",2886,3028,142,0.033081947,"B","black",4,1103.07145533909,191.560656286098,4
"252","200613_042_4",6,"D",1482,2123,641,0.084358966,"B","black",6,-566.99642693004,691.675913888645,2
"253","200613_042_4",7,"I",1562,3204,1642,0.178642515,"B","black",7,-654.108706223841,-781.203395349584,3
"254","200613_042_4",8,"L",1405,3088,1683,0.117440913,"B","black",7,-838.240825650162,-704.513354944265,3
